Salary,Males,Females,15 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60+,Total,Males_sum,Females_sum,15 - 24_sum,25 - 29_sum,30 - 39_sum,40 - 49_sum,50 - 59_sum,60+_sum,Total_sum
50,0.23,0.42,0.83,0.15,0.15,0.19,0.27,0.97,0.33,0.23,0.42,0.83,0.15,0.15,0.19,0.27,0.97,0.33
150,3.55,6.86,16.85,2.82,2.43,2.91,4.08,9.49,5.22,3.78,7.28,17.68,2.97,2.58,3.1,4.35,10.46,5.55
300,9.05,16.67,33.42,10.61,8.27,8.52,10.58,17.81,12.88,12.83,23.95,51.1,13.58,10.85,11.62,14.93,28.27,18.43
450,13.37,18.41,26.33,20.68,13.79,12.37,13.31,15.88,15.9,26.2,42.36,77.43,34.26,24.64,23.99,28.24,44.15,34.33
600,17.49,15.49,13.86,23.83,17.96,15.04,14.38,13.73,16.48,43.69,57.85,91.29,58.09,42.6,39.03,42.62,57.88,50.81
750,14.6,12.45,5.55,17.08,15.6,13.79,13.91,12.35,13.52,58.29,70.3,96.84,75.17,58.2,52.82,56.53,70.23,64.33
900,10.46,8.79,1.89,11.71,11.79,10.37,9.92,8.52,9.62,68.75,79.09,98.73,86.88,69.99,63.19,66.45,78.75,73.95
1050,7.07,6.23,0.65,5.49,9.02,7.78,7.02,5.25,6.65,75.82,85.32,99.38,92.37,79.01,70.97,73.47,84,80.6
1200,5.37,4.85,0.27,2.83,6.59,6.92,5.71,4.07,5.11,81.19,90.17,99.65,95.2,85.6,77.89,79.18,88.07,85.71
1350,4.34,3.31,0.15,1.82,4.35,5.63,4.92,2.78,3.82,85.53,93.48,99.8,97.02,89.95,83.52,84.1,90.85,89.53
1500,3.22,2.02,0.08,1.05,2.79,3.77,3.83,2.09,2.62,88.75,95.5,99.88,98.07,92.74,87.29,87.93,92.94,92.15
1650,2.56,1.33,0.04,0.61,1.94,2.88,3.01,1.82,1.95,91.31,96.83,99.92,98.68,94.68,90.17,90.94,94.76,94.1
1800,1.82,0.8,0.02,0.41,1.31,2.04,1.89,1.15,1.31,93.13,97.63,99.94,99.09,95.99,92.21,92.83,95.91,95.41
1950,1.34,0.53,0.01,0.26,0.91,1.48,1.4,0.79,0.94,94.47,98.16,99.95,99.35,96.9,93.69,94.23,96.7,96.35
2100,0.97,0.38,0.01,0.17,0.65,1.08,0.98,0.61,0.67,95.44,98.54,99.96,99.52,97.55,94.77,95.21,97.31,97.02
2250,0.71,0.26,0.01,0.12,0.48,0.78,0.7,0.39,0.48,96.15,98.8,99.97,99.64,98.03,95.55,95.91,97.7,97.5
2400,0.57,0.19,0,0.09,0.37,0.63,0.53,0.33,0.38,96.72,98.99,99.97,99.73,98.4,96.18,96.44,98.03,97.88
2550,0.45,0.16,0,0.06,0.29,0.53,0.44,0.23,0.3,97.17,99.15,99.97,99.79,98.69,96.71,96.88,98.26,98.18
